socket_type,N,data_size,D0_times,D1_times,D2_times,RUN
tcp,1,8,0.005328765,0.000457373,0.000383081,48
tcp,1,8,0.001033988,0.000513504,0.001080679,49
tcp,1,8,0.005724326,0.003988239,0.000400051,50
tcp,1,64,0.000579636,0.008821711,0.000668019,1
tcp,1,64,0.000232616,0.000591116,0.002524529,2
tcp,1,64,0.000396511,0.001117391,0.003112695,3
tcp,1,64,0.001792129,0.000526734,0.000635917,4
tcp,1,64,0.00404101,0.000767511,0.010182437,5
tcp,1,64,6.7322e-5,0.003893976,0.000282528,6
tcp,1,64,0.00109835,0.001266105,0.000563455,7
tcp,1,64,0.002143059,0.00073909,0.008884862,8
tcp,1,64,5.6752e-5,0.009996733,0.002813897,9
tcp,1,64,0.000208995,0.00037139,0.028061545,10
tcp,1,64,0.001938442,0.000226246,0.005793678,11
tcp,1,64,0.000935715,0.001142411,0.000665868,12
tcp,1,64,0.000301688,0.000405321,0.000333149,13
tcp,1,64,0.000336089,0.004139643,0.00036307,14
tcp,1,64,4.0101e-5,0.007226707,0.000878794,15
tcp,1,64,0.014016093,0.003067914,0.000442982,16
tcp,1,64,0.001255304,0.003181427,0.000488354,17
tcp,1,64,0.000364819,0.000421141,0.00039005,18
tcp,1,64,0.006729194,0.000790752,0.006835206,19
tcp,1,64,0.001221633,0.001901462,0.000651818,20
tcp,1,64,0.009248093,0.000554245,0.00108541,21
tcp,1,64,0.001301076,0.000493764,0.002155019,22
tcp,1,64,0.000378471,0.000459692,0.000323919,23
tcp,1,64,0.000329449,0.000568716,0.00292675,24
tcp,1,64,0.008525053,0.000682868,0.000435281,25
tcp,1,64,0.00037308,0.000432932,0.000395671,26
tcp,1,64,0.003535477,0.000545635,0.001040958,27
tcp,1,64,0.008266286,0.002972571,0.000678968,28
tcp,1,64,0.003743662,0.000516245,0.001346786,29
tcp,1,64,0.006525578,0.000924435,0.000542795,30
tcp,1,64,0.000760391,0.000229166,0.000809022,31
tcp,1,64,0.006469746,0.000758161,0.002736435,32
tcp,1,64,0.00219363,0.000577446,0.004624587,33
tcp,1,64,6.0441e-5,0.000987217,0.00039375,34
tcp,1,64,5.6131e-5,0.017946571,0.000417832,35
tcp,1,64,0.000320418,0.000458372,0.000383251,36
tcp,1,64,0.000333089,0.000413261,0.000334719,37
tcp,1,64,0.003694181,0.00074468,0.003225258,38
tcp,1,64,0.000435242,0.011467464,0.000439712,39
tcp,1,64,6.3582e-5,0.005994475,0.003502776,40
tcp,1,64,0.00039398,0.000446542,0.000404831,41
tcp,1,64,3.5352e-5,0.000531604,0.000422521,42
tcp,1,64,0.003803784,0.003234548,0.00075904,43
tcp,1,64,0.013613083,0.000540144,0.000471042,44
tcp,1,64,0.00037032,0.000419022,0.000393141,45
tcp,1,64,0.00035844,0.000430362,0.000382641,46
tcp,1,64,0.006609661,0.000845593,0.006487458,47
tcp,1,64,0.002020516,0.003822445,0.000814662,48
tcp,1,64,0.001035908,0.00146987,0.000448392,49
tcp,1,64,0.000414351,0.000553395,0.00257166,50
tcp,1,512,0.000227036,0.003608009,0.000886204,1
tcp,1,512,0.004591506,0.000421381,0.00037346,2
tcp,1,512,0.002666122,0.000890725,0.000899715,3
tcp,1,512,0.002745655,0.000979847,0.000987707,4
tcp,1,512,0.007163636,0.000328539,0.002351885,5
tcp,1,512,0.012012929,0.003929848,0.000858644,6
tcp,1,512,6.6062e-5,0.007544407,0.000409252,7
tcp,1,512,0.000210846,0.00037714,0.003760193,8
tcp,1,512,0.002043396,0.000560545,0.003008042,9
tcp,1,512,0.001190793,0.001660785,0.000943865,10
tcp,1,512,0.000245197,0.000399311,0.004082492,11
tcp,1,512,0.002902389,0.004861053,0.000690259,12
tcp,1,512,0.000571885,0.002837689,0.000630497,13
tcp,1,512,0.002763176,0.000637118,0.000572686,14
tcp,1,512,0.000372271,0.008787821,0.000433512,15
tcp,1,512,0.006906189,0.01714018,0.000453363,16
tcp,1,512,0.032716517,0.013023618,0.000314009,17
tcp,1,512,5.8372e-5,0.009671136,0.009728127,18
tcp,1,512,0.018670652,0.000197125,0.00036129,19
tcp,1,512,0.003227598,0.000327509,0.014907589,20
tcp,1,512,0.014390746,0.006510968,0.014996971,21
tcp,1,512,0.000250067,0.011617759,0.000312209,22
tcp,1,512,0.010769356,0.014671243,0.000499923,23
tcp,1,512,0.000371911,0.001264054,0.00035632,24
tcp,1,512,0.00257438,0.003873827,0.000373951,25
tcp,1,512,0.004842353,0.003962648,0.006332774,26
tcp,1,512,0.039855355,0.007020602,0.000342439,27
tcp,1,512,0.025199812,0.009588374,0.003187717,28
tcp,1,512,0.00033491,0.003347052,0.00037997,29
tcp,1,512,0.000276788,0.000412002,0.000287358,30
tcp,1,512,4.3241e-5,0.004258077,0.000399481,31
tcp,1,512,0.000271128,0.005718987,0.00034621,32
tcp,1,512,0.003681091,0.012437171,0.000438482,33
tcp,1,512,4.085e-5,0.012807392,0.000508684,34
tcp,1,512,0.012076131,0.015131576,0.000327609,35
tcp,1,512,0.000528994,0.004954126,0.000318599,36
tcp,1,512,0.000180865,0.003398584,0.004540105,37
tcp,1,512,0.000286428,0.008211846,0.000379651,38
tcp,1,512,0.00982976,0.000426372,0.000285627,39
tcp,1,512,0.006377055,0.013443819,0.000428282,40
tcp,1,512,0.021661366,0.003394673,0.000304548,41
tcp,1,512,0.000224507,0.000307669,0.010644772,42
tcp,1,512,0.023561508,0.004458932,0.010572631,43
tcp,1,512,0.000296298,0.000316819,0.000301808,44
tcp,1,512,0.002350195,0.006623092,0.002447357,45
tcp,1,512,0.009228614,0.014782526,0.000447823,46
tcp,1,512,0.008608017,0.008653078,0.000306068,47
tcp,1,512,0.00036196,0.009829841,0.000421722,48
tcp,1,512,0.000395151,0.009247624,0.00035749,49
tcp,1,512,0.008228806,0.00036195,0.00035916,50
tcp,1,4096,9.9592e-5,0.009363368,0.000403651,1
tcp,1,4096,0.000126814,0.007791564,0.000872244,2
tcp,1,4096,0.000328999,0.003912107,0.028478544,3
tcp,1,4096,0.000387071,0.000505744,0.000387491,4
tcp,1,4096,0.000111733,0.012563555,0.000422832,5
tcp,1,4096,0.007895097,0.000394741,0.009780839,6
tcp,1,4096,0.025119262,0.000425622,0.00614438,7
tcp,1,4096,0.000256757,0.000361,0.011172598,8
tcp,1,4096,0.000618088,0.000516744,0.000418411,9
tcp,1,4096,0.005125381,0.007089955,0.000501684,10
tcp,1,4096,0.00036828,0.000420242,0.000352039,11
tcp,1,4096,0.017122181,0.006840528,0.006716555,12
tcp,1,4096,0.01416167,0.006359285,0.000496514,13
tcp,1,4096,0.00654891,0.005939003,0.000468313,14
tcp,1,4096,0.009895453,0.006851388,0.000424112,15
tcp,1,4096,0.00036725,0.011669781,0.000406851,16
tcp,1,4096,8.8133e-5,0.003179577,0.000426901,17
tcp,1,4096,0.006808158,0.005391548,0.000454223,18
tcp,1,4096,0.000469053,0.009768949,0.000434172,19
tcp,1,4096,0.000241657,0.000321399,0.010696555,20
tcp,1,4096,0.016837173,0.005852551,0.028450774,21
tcp,1,4096,0.002695045,0.0003693,0.008968026,22
tcp,1,4096,0.00072434,0.000421371,0.00034999,23
