socket_type,N,data_size,D0_times,D1_times,D2_times
tcp,512,512,0.027707095,0.027763894,0.027020599
tcp,512,4096,0.038469579,0.038769207,0.038747135
tcp,512,32768,0.072398428,0.072433917,0.072396294
tcp,724,1,0.031347135,0.030021063,0.038906061
tcp,724,8,0.031129334,0.031141607,0.031122621
tcp,724,64,0.03707202,0.037740701,0.03771935
tcp,724,512,0.038212622,0.039286987,0.039252541
tcp,724,4096,0.051197948,0.051246562,0.050718983
tcp,724,32768,0.089526575,0.089597411,0.089530683
tcp,1024,1,0.044560991,0.044567945,0.044576061
tcp,1024,8,0.044448464,0.044534932,0.044517087
tcp,1024,64,0.057978712,0.059270708,0.051620875
tcp,1024,512,0.054861933,0.054865621,0.054869829
tcp,1024,4096,0.07026044,0.070197589,0.070265099
tcp,1024,32768,0.129623666,0.130759409,0.130703882
ipc,1,1,0.000130612,0.000150431,0.000131313
ipc,1,8,0.001458878,0.00150682,0.000143217
ipc,1,64,2.088e-5,0.00070953,0.000163505
ipc,1,512,0.002390216,0.000143027,0.00275455
ipc,1,4096,6.6459e-5,0.001986727,0.000343744
ipc,1,32768,0.000349244,0.000341159,0.000253539
ipc,2,1,0.000253369,0.000258789,0.000213152
ipc,2,8,0.000201279,0.000225896,0.000204545
ipc,2,64,0.000163055,0.00019651,0.000176641
ipc,2,512,0.006952395,0.000184676,0.000458816
ipc,2,4096,0.004485712,0.000307885,0.004497465
ipc,2,32768,0.004223556,0.001113431,0.00043001
ipc,3,1,0.003044299,0.003071161,0.000298266
ipc,3,8,0.00083883,0.000858609,0.000230916
ipc,3,64,0.000245163,0.000301472,0.000267387
ipc,3,512,0.000303566,0.000327864,0.000277637
ipc,3,4096,0.004317438,0.000337261,0.004326234
ipc,3,32768,0.013029201,0.013107572,0.000581653
ipc,4,1,0.000322994,0.000344415,0.000291503
ipc,4,8,0.00553053,0.005551551,0.000287816
ipc,4,64,0.00873042,0.000298476,0.005765624
ipc,4,512,0.008233019,0.00036728,0.000333845
ipc,4,4096,0.005029652,0.009970274,0.000581173
ipc,4,32768,0.000718006,0.000552187,0.000747343
ipc,6,1,0.002872207,0.002905862,0.000342772
ipc,6,8,0.001912774,0.001928955,0.000427044
ipc,6,64,0.002613487,0.002657833,0.000475929
ipc,6,512,0.000570411,0.015045835,0.015030977
ipc,6,4096,0.008339444,0.000525534,0.001260665
ipc,6,32768,0.009387008,0.007724046,0.001053475
ipc,8,1,0.00130517,0.000580021,0.000542638
ipc,8,8,0.000450631,0.000686366,0.000669904
ipc,8,64,0.000397167,0.001872756,0.001823271
ipc,8,512,0.000500006,0.000565672,0.000504395
ipc,8,4096,0.000993559,0.001034377,0.000983039
ipc,8,32768,0.001678211,0.001734991,0.001139751
ipc,11,1,0.000456822,0.001197362,0.001146424
ipc,11,8,0.000640407,0.001268199,0.000594368
ipc,11,64,0.000744027,0.000739628,0.000747073
ipc,11,512,0.00068361,0.000702937,0.000684802
ipc,11,4096,0.003312286,0.003343737,0.001110024
ipc,11,32768,0.001681708,0.001749679,0.001688159
ipc,16,1,0.000691034,0.001750901,0.001739218
ipc,16,8,0.001563419,0.000764587,0.001610359
ipc,16,64,0.001092029,0.001115885,0.001093061
ipc,16,512,0.01305475,0.001279931,0.000928352
ipc,16,4096,0.001537539,0.003231219,0.0136451
ipc,16,32768,0.004685077,0.004731036,0.002137568
ipc,23,1,0.017234572,0.017225494,0.001329517
ipc,23,8,0.001134451,0.001159359,0.001144971
ipc,23,64,0.006295598,0.004200141,0.001385095
ipc,23,512,0.003356762,0.003027597,0.001368413
ipc,23,4096,0.001824734,0.007340796,0.007624734
ipc,23,32768,0.019110364,0.019194527,0.003059659
ipc,32,1,0.001433358,0.005995878,0.00863258
ipc,32,8,0.001526999,0.001567688,0.001535555
ipc,32,64,0.005434264,0.001872586,0.005484932
ipc,32,512,0.002726886,0.002745722,0.002012196
ipc,32,4096,0.004370701,0.004414555,0.002520307
ipc,32,32768,0.005566088,0.003926001,0.006412624
ipc,45,1,0.002313769,0.002358485,0.001849752
ipc,45,8,0.003078345,0.001809474,0.0024497
ipc,45,64,0.00221635,0.002548602,0.00253225
ipc,45,512,0.002438489,0.002457786,0.002401548
ipc,45,4096,0.003023619,0.003470161,0.003438991
ipc,45,32768,0.0055825,0.005603942,0.005581158
ipc,64,1,0.002609039,0.002690727,0.002700755
ipc,64,8,0.009326641,0.0093627,0.002902735
ipc,64,64,0.003298861,0.003301446,0.003159341
ipc,64,512,0.003345761,0.00349527,0.00346932
ipc,64,4096,0.004257862,0.004295024,0.004286408
ipc,64,32768,0.009713358,0.009768946,0.007076616
ipc,91,1,0.005493288,0.008145981,0.004083225
ipc,91,8,0.006475505,0.004005946,0.003844154
ipc,91,64,0.008946547,0.004828213,0.004809427
ipc,91,512,0.004777486,0.004763779,0.004730896
ipc,91,4096,0.00585128,0.005880757,0.013785451
ipc,91,32768,0.012699795,0.010497772,0.012752046
ipc,128,1,0.005075842,0.005190413,0.005174713
ipc,128,8,0.005000807,0.008510455,0.008500194
ipc,128,64,0.007607892,0.008250032,0.006661484
ipc,128,512,0.006200093,0.006711952,0.007396414
ipc,128,4096,0.008913884,0.008982997,0.008957408
ipc,128,32768,0.014014023,0.0150795,0.015029534
ipc,181,1,0.007576701,0.00730181,0.007546073
ipc,181,8,0.007033021,0.007221105,0.007127844
ipc,181,64,0.008655665,0.01038794,0.010372511
ipc,181,512,0.009361117,0.009368522,0.00898958
ipc,181,4096,0.01437974,0.013721047,0.01170788
ipc,181,32768,0.020940849,0.021126187,0.021055521
ipc,256,1,0.010102319,0.010141434,0.010127708
ipc,256,8,0.011010583,0.011020081,0.010321182
ipc,256,64,0.011581115,0.011633786,0.011595152
ipc,256,512,0.013653567,0.013714234,0.013697121
ipc,256,4096,0.019435332,0.016397816,0.019405114
ipc,256,32768,0.030088314,0.030127139,0.029315803
ipc,362,1,0.013717551,0.013761185,0.013744121
ipc,362,8,0.013675409,0.014051635,0.014036637
ipc,362,64,0.016639964,0.016636878,0.016724527
ipc,362,512,0.026742203,0.022153932,0.017238439
ipc,362,4096,0.022495361,0.022636114,0.022586758
ipc,362,32768,0.041518227,0.042425208,0.042335434
ipc,512,1,0.019401436,0.019380116,0.019420624
ipc,512,8,0.019586534,0.021565656,0.021518666
ipc,512,64,0.024494362,0.024497428,0.028891603
ipc,512,512,0.025030256,0.025087999,0.025037991
ipc,512,4096,0.031438231,0.031465324,0.03144773
ipc,512,32768,0.057480762,0.05797639,0.057937244
ipc,724,1,0.032068278,0.029653755,0.034936647
ipc,724,8,0.026540913,0.028954635,0.028778505
ipc,724,64,0.034055655,0.034077999,0.034408317
ipc,724,512,0.035366287,0.035593365,0.038611584
ipc,724,4096,0.046882867,0.047299231,0.047267871
ipc,724,32768,0.07979262,0.080733186,0.080725511
ipc,1024,1,0.039959477,0.049610935,0.042268245
ipc,1024,8,0.040469411,0.039419634,0.040471205
ipc,1024,64,0.050568274,0.051020687,0.049992552
ipc,1024,512,0.049382063,0.049750524,0.048997901
ipc,1024,4096,0.064773446,0.064769798,0.064776231
ipc,1024,32768,0.115133608,0.114195205,0.115170179
